def 0:
	Identifier: bgm_PlayFadeIn
		Argument: BGM_TIME_GEAR_REMIX
		Argument: 0
		Argument: 256
	Identifier: back_SetGround
		Argument: LEVEL_V03P12A
	Identifier: supervision_Acting
		Argument: 0
	Identifier: camera_SetMyself
		Template
			Type: performer
			Identifier: 0
	Identifier: screen_FadeIn
		Argument: 1
		Argument: 15
	Identifier: Wait
		Argument: 30
	Identifier: message_ResetActor
	Identifier: message_Talk
		Argument: english
		Dialogue: Three more Time Gears remain. I must have them...
	Identifier: message_Close
	Identifier: bgm_FadeOut
		Argument: 190
	Identifier: Wait
		Argument: 45
	Identifier: screen_FadeOut
		Argument: 1
		Argument: 90
	Identifier: Wait
		Argument: 60
	Identifier: Wait
		Argument: 60
	Command: end
